"COUNTRY","INDICATOR","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","1997","-1.641","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","1998","-2.373","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","1999","-2.976","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","2000","-3.921","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","2001","-3.724","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","2002","-4.173","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","2003","-4.559","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","2004","-5.205","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","2005","-5.746","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","2006","-5.911","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","2007","-5.089","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","2008","-4.716","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","2009","-2.623","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","2010","-2.871","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","2011","-2.919","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","2012","-2.573","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","2013","-2.011","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","2014","-2.102","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","2015","-2.233","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","2016","-2.107","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","2017","-1.874","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","2018","-2.125","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","2019","-2.052","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","2020","-2.777","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","2021","-3.619","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","2022","-3.812","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","2023","-3.337","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","2024","-4.046","Units"
"United States","Current account balance (credit less debit), Percent of GDP","Annual","2025","-3.627","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","1997","-0.344","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","1998","-0.498","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","1999","-1.157","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","2000","-1.524","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","2001","-0.173","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","2002","1.954","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","2003","1.499","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","2004","4.514","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","2005","4.651","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","2006","5.810","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","2007","6.672","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","2008","5.601","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","2009","5.806","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","2010","5.744","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","2011","6.292","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","2012","7.190","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","2013","6.710","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","2014","7.235","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","2015","8.101","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","2016","8.909","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","2017","8.062","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","2018","8.421","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","2019","7.873","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","2020","6.318","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","2021","6.909","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","2022","3.811","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","2023","5.517","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","2024","5.809","Units"
"Germany","Current account balance (credit less debit), Percent of GDP","Annual","2025","4.416","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","1997","-1.007","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","1998","0.720","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","1999","-0.364","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2000","-3.626","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2001","1.852","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2002","-0.262","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2003","-2.380","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2004","-3.477","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2005","-4.140","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2006","-5.616","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2007","-5.379","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2008","-5.004","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2009","-1.731","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2010","-5.698","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2011","-8.823","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2012","-4.736","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2013","-5.125","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2014","-3.404","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2015","-2.459","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2016","-2.547","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2017","-4.068","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2018","-1.809","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2019","1.937","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2020","-4.248","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2021","-0.854","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2022","-5.047","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2023","-3.626","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2024","-0.959","Units"
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2025","-1.884","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","1997","0.184","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","1998","-8.947","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","1999","0.254","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","2000","7.555","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","2001","5.080","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","2002","6.262","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","2003","12.997","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","2004","20.069","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","2005","28.146","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","2006","27.389","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","2007","23.913","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","2008","26.884","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","2009","6.603","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","2010","14.088","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","2011","24.234","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","2012","22.642","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","2013","18.325","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","2014","9.865","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","2015","-7.938","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","2016","-3.913","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","2017","1.225","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","2018","7.899","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","2019","3.645","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","2020","-4.521","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","2021","4.570","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","2022","11.729","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","2023","2.129","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","2024","-1.296","Units"
"Saudi Arabia","Current account balance (credit less debit), Percent of GDP","Annual","2025","-2.955","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","1997","3.819","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","1998","3.039","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","1999","1.918","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2000","1.674","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2001","1.288","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2002","2.383","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2003","2.561","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2004","3.484","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2005","5.690","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2006","8.284","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2007","9.774","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2008","9.034","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2009","4.699","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2010","3.874","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2011","1.784","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2012","2.481","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2013","1.514","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2014","2.206","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2015","2.592","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2016","1.671","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2017","1.507","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2018","0.171","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2019","0.705","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2020","1.647","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2021","1.941","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2022","2.418","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2023","1.434","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2024","2.238","Units"
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP","Annual","2025","3.715","Units"
